X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,1.468000e-01,2.000000e-04
0,4.88e-01,5.31e-01,
1,4.85e-01,5.27e-01,
2,4.89e-01,5.27e-01,
3,4.86e-01,5.31e-01,
4,4.86e-01,5.31e-01,
5,4.89e-01,5.26e-01,
6,4.86e-01,5.32e-01,
7,4.89e-01,5.27e-01,
8,4.89e-01,5.31e-01,
9,4.86e-01,5.27e-01,
10,4.86e-01,5.31e-01,
11,4.89e-01,5.27e-01,
12,4.88e-01,5.27e-01,
13,4.86e-01,5.31e-01,
14,4.86e-01,5.27e-01,
15,4.89e-01,5.31e-01,
16,4.86e-01,5.26e-01,
17,4.89e-01,5.31e-01,
18,4.85e-01,5.27e-01,
19,4.89e-01,5.31e-01,
20,4.88e-01,5.27e-01,
21,4.86e-01,5.31e-01,
22,4.86e-01,5.31e-01,
23,4.88e-01,5.26e-01,
24,4.85e-01,5.31e-01,
25,4.89e-01,5.27e-01,
26,4.89e-01,5.31e-01,
27,4.84e-01,5.27e-01,
28,4.87e-01,5.31e-01,
29,4.84e-01,5.27e-01,
30,4.84e-01,5.27e-01,
31,4.87e-01,5.31e-01,
32,4.84e-01,5.31e-01,
33,4.87e-01,5.26e-01,
34,4.84e-01,5.31e-01,
35,4.87e-01,5.27e-01,
36,4.87e-01,5.27e-01,
37,4.84e-01,5.31e-01,
38,4.87e-01,5.31e-01,
39,4.84e-01,5.26e-01,
40,4.84e-01,5.27e-01,
41,4.89e-01,5.32e-01,
42,4.86e-01,5.27e-01,
43,4.90e-01,5.32e-01,
44,4.89e-01,5.27e-01,
45,4.84e-01,5.31e-01,
46,4.85e-01,5.27e-01,
47,4.88e-01,5.31e-01,
48,4.85e-01,5.27e-01,
49,4.89e-01,5.32e-01,
50,4.88e-01,5.27e-01,
51,4.84e-01,5.31e-01,
52,4.85e-01,5.27e-01,
53,4.88e-01,5.31e-01,
54,4.88e-01,5.26e-01,
55,4.85e-01,5.32e-01,
56,4.85e-01,5.31e-01,
57,4.88e-01,5.27e-01,
58,4.88e-01,5.27e-01,
59,4.84e-01,5.31e-01,
60,4.88e-01,5.31e-01,
